09:19:48 | LOCK_ACQUIRED | sim=0.78
09:19:48 | MOVE_LEFT | nose_x=0.69
09:19:49 | BLINK | EAR=0.17
09:19:49 | MOVE_LEFT | nose_x=0.68
09:19:50 | MOVE_LEFT | nose_x=0.63
09:19:51 | MOVE_LEFT | nose_x=0.66
09:19:55 | MOVE_RIGHT | nose_x=0.46
09:19:56 | MOVE_RIGHT | nose_x=0.49
09:19:57 | MOVE_RIGHT | nose_x=0.48
09:19:59 | BLINK | EAR=0.19
09:19:59 | MOVE_RIGHT | nose_x=0.50
09:20:00 | MOVE_RIGHT | nose_x=0.49
09:20:01 | LOCK_LOST | Frames without target > 10
09:20:03 | LOCK_ACQUIRED | sim=0.78
09:20:03 | MOVE_RIGHT | nose_x=0.41
09:20:04 | MOVE_RIGHT | nose_x=0.44
09:20:05 | MOVE_RIGHT | nose_x=0.46
09:20:07 | LOCK_LOST | Frames without target > 10
09:20:08 | LOCK_ACQUIRED | sim=0.92
09:20:08 | BLINK | EAR=0.19
09:20:08 | MOVE_RIGHT | nose_x=0.29
09:20:09 | LOCK_LOST | Frames without target > 10
09:20:12 | LOCK_ACQUIRED | sim=0.65
09:20:12 | MOVE_RIGHT | nose_x=0.31
09:20:13 | MOVE_RIGHT | nose_x=0.39
09:20:14 | MOVE_RIGHT | nose_x=0.39
09:20:15 | LOCK_LOST | Frames without target > 10
09:20:17 | LOCK_ACQUIRED | sim=0.90
09:20:17 | MOVE_RIGHT | nose_x=0.32
09:20:18 | LOCK_LOST | Frames without target > 10
09:20:18 | LOCK_ACQUIRED | sim=0.82
09:20:19 | MOVE_RIGHT | nose_x=0.28
09:20:20 | MOVE_RIGHT | nose_x=0.37
09:20:24 | MOVE_RIGHT | nose_x=0.40
09:20:25 | MOVE_RIGHT | nose_x=0.42
09:20:26 | MOVE_RIGHT | nose_x=0.41
09:20:27 | MOVE_RIGHT | nose_x=0.41
09:20:28 | MOVE_RIGHT | nose_x=0.41
09:20:29 | MOVE_RIGHT | nose_x=0.41
09:20:30 | MOVE_RIGHT | nose_x=0.41
09:20:31 | MOVE_RIGHT | nose_x=0.43
09:20:33 | MOVE_RIGHT | nose_x=0.43
09:20:34 | BLINK | EAR=0.17
09:20:34 | MOVE_RIGHT | nose_x=0.44
09:20:34 | LOCK_LOST | Frames without target > 10
09:20:36 | LOCK_ACQUIRED | sim=0.78
09:20:36 | MOVE_RIGHT | nose_x=0.41
09:20:37 | MOVE_RIGHT | nose_x=0.43
09:20:38 | MOVE_RIGHT | nose_x=0.44
09:20:39 | MOVE_RIGHT | nose_x=0.44
09:20:40 | MOVE_RIGHT | nose_x=0.44
09:20:42 | MOVE_RIGHT | nose_x=0.45
09:20:46 | MOVE_RIGHT | nose_x=0.48
09:20:47 | MOVE_RIGHT | nose_x=0.44
09:20:48 | MOVE_RIGHT | nose_x=0.48
09:20:49 | MOVE_RIGHT | nose_x=0.49
09:20:49 | LOCK_LOST | Frames without target > 10
09:20:50 | LOCK_ACQUIRED | sim=0.88
09:20:50 | MOVE_RIGHT | nose_x=0.28
09:20:51 | LOCK_LOST | Frames without target > 10
09:21:13 | LOCK_ACQUIRED | sim=0.75
09:21:13 | MOVE_RIGHT | nose_x=0.12
09:21:13 | LOCK_LOST | Frames without target > 10
09:21:14 | LOCK_ACQUIRED | sim=0.82
09:21:14 | SMILE | ratio=0.46
09:21:14 | MOVE_RIGHT | nose_x=0.32
09:21:15 | MOVE_RIGHT | nose_x=0.47
09:21:16 | LOCK_LOST | Frames without target > 10
09:21:16 | LOCK_ACQUIRED | sim=0.80
09:21:17 | LOCK_LOST | Frames without target > 10
09:21:19 | LOCK_ACQUIRED | sim=0.80
09:21:20 | LOCK_LOST | Frames without target > 10
