14:11:55 | LOCK_ACQUIRED | sim=0.73
14:11:55 | MOVE_LEFT | nose_x=0.48
14:11:56 | MOVE_LEFT | nose_x=0.45
14:11:57 | MOVE_LEFT | nose_x=0.42
14:11:58 | BLINK | EAR=0.20
14:11:58 | MOVE_LEFT | nose_x=0.42
14:12:00 | MOVE_LEFT | nose_x=0.45
14:12:02 | MOVE_LEFT | nose_x=0.48
14:12:03 | MOVE_LEFT | nose_x=0.43
14:12:04 | MOVE_LEFT | nose_x=0.43
14:12:05 | MOVE_LEFT | nose_x=0.43
14:12:07 | MOVE_LEFT | nose_x=0.43
14:12:09 | MOVE_RIGHT | nose_x=0.62
14:12:11 | MOVE_RIGHT | nose_x=0.69
14:12:12 | MOVE_RIGHT | nose_x=0.66
14:12:13 | MOVE_RIGHT | nose_x=0.66
14:12:14 | MOVE_RIGHT | nose_x=0.66
14:12:15 | MOVE_LEFT | nose_x=0.44
14:12:16 | MOVE_LEFT | nose_x=0.25
14:12:17 | MOVE_LEFT | nose_x=0.24
14:12:18 | MOVE_LEFT | nose_x=0.25
14:12:20 | MOVE_LEFT | nose_x=0.25
14:12:21 | MOVE_LEFT | nose_x=0.26
14:12:22 | MOVE_LEFT | nose_x=0.26
14:12:23 | MOVE_LEFT | nose_x=0.26
14:12:25 | MOVE_LEFT | nose_x=0.33
14:12:26 | MOVE_LEFT | nose_x=0.33
14:12:27 | MOVE_LEFT | nose_x=0.36
14:12:28 | MOVE_LEFT | nose_x=0.43
14:12:29 | MOVE_LEFT | nose_x=0.42
14:12:32 | MOVE_LEFT | nose_x=0.42
14:12:33 | MOVE_LEFT | nose_x=0.42
14:12:34 | MOVE_LEFT | nose_x=0.42
14:12:35 | SMILE | ratio=0.46
14:12:35 | MOVE_LEFT | nose_x=0.41
14:12:36 | MOVE_LEFT | nose_x=0.44
14:12:37 | MOVE_LEFT | nose_x=0.42
14:12:38 | BLINK | EAR=0.16
14:12:38 | MOVE_LEFT | nose_x=0.41
14:12:39 | MOVE_LEFT | nose_x=0.41
14:12:40 | MOVE_LEFT | nose_x=0.41
14:12:41 | MOVE_LEFT | nose_x=0.42
