09:14:45 | LOCK_ACQUIRED | sim=0.75
09:14:46 | MOVE_RIGHT | nose_x=0.34
09:14:47 | MOVE_RIGHT | nose_x=0.43
09:14:48 | MOVE_RIGHT | nose_x=0.32
09:14:49 | MOVE_RIGHT | nose_x=0.37
09:14:50 | MOVE_RIGHT | nose_x=0.39
09:14:51 | MOVE_RIGHT | nose_x=0.44
09:14:52 | MOVE_RIGHT | nose_x=0.44
09:14:54 | MOVE_RIGHT | nose_x=0.42
09:14:55 | MOVE_RIGHT | nose_x=0.41
09:14:56 | MOVE_RIGHT | nose_x=0.27
09:14:57 | LOCK_LOST | Frames without target > 10
09:14:58 | LOCK_ACQUIRED | sim=0.72
09:14:58 | MOVE_RIGHT | nose_x=0.49
09:15:00 | MOVE_RIGHT | nose_x=0.37
09:15:01 | MOVE_RIGHT | nose_x=0.34
09:15:02 | LOCK_LOST | Frames without target > 10
09:15:09 | LOCK_ACQUIRED | sim=0.72
09:15:10 | MOVE_RIGHT | nose_x=0.40
09:15:10 | LOCK_LOST | Frames without target > 10
09:15:11 | LOCK_ACQUIRED | sim=0.71
09:15:12 | LOCK_LOST | Frames without target > 10
09:15:16 | LOCK_ACQUIRED | sim=0.71
09:15:16 | LOCK_LOST | Frames without target > 10
09:15:17 | LOCK_ACQUIRED | sim=0.79
09:15:20 | MOVE_RIGHT | nose_x=0.49
09:15:21 | MOVE_RIGHT | nose_x=0.47
09:15:22 | MOVE_RIGHT | nose_x=0.48
09:15:23 | MOVE_RIGHT | nose_x=0.48
09:15:24 | MOVE_RIGHT | nose_x=0.19
09:15:25 | MOVE_RIGHT | nose_x=0.25
09:15:26 | MOVE_RIGHT | nose_x=0.33
09:15:27 | LOCK_LOST | Frames without target > 10
09:15:28 | LOCK_ACQUIRED | sim=0.77
09:15:28 | MOVE_RIGHT | nose_x=0.35
09:15:29 | MOVE_RIGHT | nose_x=0.37
09:15:30 | BLINK | EAR=0.21
09:15:30 | MOVE_RIGHT | nose_x=0.44
09:15:31 | LOCK_LOST | Frames without target > 10
09:15:37 | LOCK_ACQUIRED | sim=0.77
09:15:37 | MOVE_RIGHT | nose_x=0.35
09:15:37 | SMILE | ratio=0.45
09:15:37 | MOVE_RIGHT | nose_x=0.37
09:15:38 | LOCK_LOST | Frames without target > 10
09:15:50 | LOCK_ACQUIRED | sim=0.57
09:15:51 | MOVE_RIGHT | nose_x=0.32
09:15:52 | LOCK_LOST | Frames without target > 10
09:15:54 | LOCK_ACQUIRED | sim=0.78
09:15:54 | MOVE_RIGHT | nose_x=0.32
09:15:55 | MOVE_RIGHT | nose_x=0.43
09:15:56 | MOVE_RIGHT | nose_x=0.43
09:15:57 | MOVE_RIGHT | nose_x=0.39
09:15:58 | MOVE_RIGHT | nose_x=0.49
09:15:59 | MOVE_LEFT | nose_x=0.62
09:16:00 | LOCK_LOST | Frames without target > 10
09:16:05 | LOCK_ACQUIRED | sim=0.71
09:16:05 | MOVE_LEFT | nose_x=0.66
09:16:06 | LOCK_LOST | Frames without target > 10
