11:41:13 | LOCK_ACQUIRED | sim=0.43
11:41:13 | MOVE_LEFT | nose_x=0.48
11:41:14 | BLINK | EAR=0.14
11:41:14 | MOVE_LEFT | nose_x=0.48
11:41:15 | MOVE_LEFT | nose_x=0.41
11:41:16 | MOVE_LEFT | nose_x=0.41
11:41:17 | MOVE_LEFT | nose_x=0.42
11:41:19 | MOVE_LEFT | nose_x=0.42
11:41:21 | MOVE_LEFT | nose_x=0.42
11:41:22 | MOVE_LEFT | nose_x=0.41
11:41:23 | MOVE_LEFT | nose_x=0.41
11:41:24 | MOVE_LEFT | nose_x=0.40
11:41:25 | MOVE_LEFT | nose_x=0.40
11:41:26 | MOVE_LEFT | nose_x=0.40
11:41:28 | MOVE_LEFT | nose_x=0.41
11:41:30 | MOVE_LEFT | nose_x=0.44
11:41:32 | MOVE_LEFT | nose_x=0.44
11:41:34 | BLINK | EAR=0.13
11:41:34 | MOVE_LEFT | nose_x=0.49
11:41:35 | MOVE_LEFT | nose_x=0.48
11:41:36 | MOVE_LEFT | nose_x=0.48
11:41:37 | MOVE_LEFT | nose_x=0.48
11:41:38 | MOVE_LEFT | nose_x=0.48
11:41:40 | MOVE_LEFT | nose_x=0.47
11:41:41 | MOVE_LEFT | nose_x=0.46
11:41:43 | MOVE_LEFT | nose_x=0.46
11:41:44 | MOVE_LEFT | nose_x=0.46
11:41:45 | MOVE_LEFT | nose_x=0.46
11:41:46 | MOVE_LEFT | nose_x=0.46
11:41:47 | MOVE_LEFT | nose_x=0.46
11:41:49 | MOVE_LEFT | nose_x=0.46
11:41:50 | BLINK | EAR=0.15
11:41:50 | MOVE_LEFT | nose_x=0.46
11:41:51 | MOVE_LEFT | nose_x=0.46
11:41:53 | MOVE_LEFT | nose_x=0.46
11:41:54 | MOVE_LEFT | nose_x=0.46
11:41:56 | MOVE_LEFT | nose_x=0.49
11:41:57 | BLINK | EAR=0.16
11:41:58 | MOVE_LEFT | nose_x=0.43
11:41:59 | BLINK | EAR=0.19
11:41:59 | MOVE_LEFT | nose_x=0.41
11:42:00 | BLINK | EAR=0.21
11:42:00 | MOVE_LEFT | nose_x=0.40
11:42:01 | BLINK | EAR=0.21
11:42:01 | MOVE_LEFT | nose_x=0.42
11:42:02 | BLINK | EAR=0.19
11:42:02 | MOVE_LEFT | nose_x=0.42
11:42:02 | BLINK | EAR=0.20
11:42:02 | MOVE_LEFT | nose_x=0.42
11:42:02 | BLINK | EAR=0.19
11:42:02 | MOVE_LEFT | nose_x=0.42
11:42:03 | BLINK | EAR=0.17
11:42:03 | MOVE_LEFT | nose_x=0.44
11:42:03 | BLINK | EAR=0.22
11:42:03 | MOVE_LEFT | nose_x=0.42
11:42:04 | BLINK | EAR=0.19
11:42:04 | MOVE_LEFT | nose_x=0.42
11:42:04 | BLINK | EAR=0.17
11:42:04 | MOVE_LEFT | nose_x=0.44
11:42:05 | MOVE_LEFT | nose_x=0.44
11:42:06 | MOVE_LEFT | nose_x=0.49
11:42:08 | MOVE_LEFT | nose_x=0.50
11:42:09 | MOVE_LEFT | nose_x=0.49
11:42:10 | MOVE_LEFT | nose_x=0.48
11:42:12 | MOVE_LEFT | nose_x=0.47
11:42:14 | MOVE_LEFT | nose_x=0.48
11:42:15 | BLINK | EAR=0.20
11:42:15 | MOVE_LEFT | nose_x=0.49
11:42:20 | BLINK | EAR=0.16
11:42:24 | BLINK | EAR=0.14
11:42:36 | MOVE_LEFT | nose_x=0.50
11:42:41 | MOVE_LEFT | nose_x=0.50
11:42:42 | MOVE_LEFT | nose_x=0.47
11:42:43 | MOVE_LEFT | nose_x=0.47
11:42:44 | MOVE_LEFT | nose_x=0.48
11:42:45 | MOVE_LEFT | nose_x=0.49
11:42:47 | MOVE_LEFT | nose_x=0.49
11:42:53 | MOVE_LEFT | nose_x=0.50
11:42:54 | BLINK | EAR=0.18
11:42:54 | MOVE_LEFT | nose_x=0.44
11:42:56 | MOVE_LEFT | nose_x=0.42
11:42:57 | MOVE_LEFT | nose_x=0.43
11:42:59 | MOVE_LEFT | nose_x=0.43
11:43:01 | MOVE_LEFT | nose_x=0.45
11:43:03 | MOVE_LEFT | nose_x=0.44
11:43:04 | MOVE_LEFT | nose_x=0.44
11:43:06 | MOVE_LEFT | nose_x=0.44
11:43:08 | MOVE_LEFT | nose_x=0.45
11:43:11 | MOVE_LEFT | nose_x=0.45
11:43:13 | MOVE_LEFT | nose_x=0.47
11:43:15 | MOVE_LEFT | nose_x=0.45
11:43:16 | MOVE_LEFT | nose_x=0.46
11:43:17 | MOVE_LEFT | nose_x=0.45
11:43:19 | MOVE_LEFT | nose_x=0.46
11:43:20 | MOVE_LEFT | nose_x=0.45
11:43:22 | MOVE_LEFT | nose_x=0.45
11:43:24 | SMILE | ratio=0.49
11:43:24 | MOVE_LEFT | nose_x=0.45
11:43:24 | SMILE | ratio=0.47
11:43:24 | MOVE_LEFT | nose_x=0.46
11:43:26 | MOVE_LEFT | nose_x=0.48
11:43:31 | BLINK | EAR=0.16
11:43:31 | MOVE_LEFT | nose_x=0.48
11:43:33 | MOVE_LEFT | nose_x=0.49
11:43:34 | MOVE_LEFT | nose_x=0.49
11:43:36 | MOVE_LEFT | nose_x=0.49
11:43:38 | MOVE_LEFT | nose_x=0.49
