09:09:49 | LOCK_ACQUIRED | sim=0.62
09:09:49 | MOVE_RIGHT | nose_x=0.69
09:09:51 | MOVE_LEFT | nose_x=0.49
09:10:11 | MOVE_LEFT | nose_x=0.47
09:10:12 | MOVE_LEFT | nose_x=0.42
09:10:15 | MOVE_LEFT | nose_x=0.46
09:10:19 | MOVE_LEFT | nose_x=0.44
09:10:21 | MOVE_LEFT | nose_x=0.46
09:10:27 | MOVE_LEFT | nose_x=0.50
09:10:29 | MOVE_LEFT | nose_x=0.49
09:10:30 | MOVE_LEFT | nose_x=0.49
09:10:32 | MOVE_LEFT | nose_x=0.50
09:10:36 | MOVE_RIGHT | nose_x=0.64
09:10:37 | MOVE_RIGHT | nose_x=0.71
09:10:38 | MOVE_RIGHT | nose_x=0.73
09:10:40 | MOVE_RIGHT | nose_x=0.73
09:10:43 | SMILE | ratio=0.46
09:10:45 | SMILE | ratio=0.46
09:10:46 | SMILE | ratio=0.46
09:10:47 | SMILE | ratio=0.46
09:10:48 | SMILE | ratio=0.47
09:10:50 | SMILE | ratio=0.46
09:10:51 | SMILE | ratio=0.46
09:10:53 | SMILE | ratio=0.46
09:10:55 | SMILE | ratio=0.47
09:10:56 | SMILE | ratio=0.46
09:11:06 | SMILE | ratio=0.46
09:11:08 | MOVE_RIGHT | nose_x=0.61
09:11:09 | MOVE_RIGHT | nose_x=0.62
09:11:11 | MOVE_RIGHT | nose_x=0.62
09:11:14 | MOVE_RIGHT | nose_x=0.61
09:11:18 | MOVE_LEFT | nose_x=0.46
09:11:20 | MOVE_LEFT | nose_x=0.49
09:11:21 | MOVE_LEFT | nose_x=0.47
09:11:23 | MOVE_LEFT | nose_x=0.46
09:11:24 | MOVE_LEFT | nose_x=0.49
09:11:26 | MOVE_LEFT | nose_x=0.49
09:11:30 | MOVE_RIGHT | nose_x=0.81
09:11:33 | MOVE_RIGHT | nose_x=0.84
09:11:34 | MOVE_RIGHT | nose_x=0.84
09:11:36 | MOVE_RIGHT | nose_x=0.84
09:11:38 | MOVE_RIGHT | nose_x=0.60
09:11:41 | MOVE_LEFT | nose_x=0.44
09:11:43 | MOVE_LEFT | nose_x=0.44
09:11:44 | MOVE_LEFT | nose_x=0.39
09:11:45 | MOVE_LEFT | nose_x=0.38
09:11:47 | MOVE_RIGHT | nose_x=0.63
09:11:48 | MOVE_RIGHT | nose_x=0.67
09:11:50 | MOVE_RIGHT | nose_x=0.74
09:11:51 | MOVE_RIGHT | nose_x=0.73
09:11:52 | MOVE_RIGHT | nose_x=0.74
09:11:53 | MOVE_RIGHT | nose_x=0.74
09:11:55 | MOVE_RIGHT | nose_x=0.75
09:11:56 | MOVE_RIGHT | nose_x=0.76
09:11:57 | MOVE_LEFT | nose_x=0.19
09:11:58 | MOVE_LEFT | nose_x=0.24
09:12:00 | MOVE_LEFT | nose_x=0.27
09:12:01 | MOVE_LEFT | nose_x=0.31
09:12:02 | MOVE_LEFT | nose_x=0.34
09:12:03 | MOVE_LEFT | nose_x=0.22
09:12:04 | MOVE_LEFT | nose_x=0.19
09:12:06 | MOVE_LEFT | nose_x=0.16
09:12:08 | MOVE_LEFT | nose_x=0.16
09:12:10 | MOVE_LEFT | nose_x=0.16
09:12:12 | MOVE_LEFT | nose_x=0.17
09:12:14 | MOVE_LEFT | nose_x=0.23
09:12:16 | MOVE_LEFT | nose_x=0.17
09:12:17 | MOVE_LEFT | nose_x=0.13
09:12:18 | MOVE_LEFT | nose_x=0.13
09:12:20 | MOVE_LEFT | nose_x=0.40
09:12:21 | MOVE_LEFT | nose_x=0.28
09:12:22 | MOVE_LEFT | nose_x=0.28
09:12:24 | MOVE_LEFT | nose_x=0.28
09:12:25 | MOVE_LEFT | nose_x=0.48
09:12:27 | BLINK | EAR=0.17
09:12:27 | MOVE_LEFT | nose_x=0.35
09:12:28 | MOVE_LEFT | nose_x=0.36
09:12:29 | MOVE_LEFT | nose_x=0.42
09:12:32 | MOVE_LEFT | nose_x=0.49
09:12:33 | MOVE_LEFT | nose_x=0.47
09:12:34 | MOVE_LEFT | nose_x=0.49
09:12:35 | MOVE_LEFT | nose_x=0.48
09:12:36 | MOVE_LEFT | nose_x=0.49
09:12:37 | MOVE_LEFT | nose_x=0.49
09:12:39 | MOVE_LEFT | nose_x=0.46
09:12:40 | MOVE_LEFT | nose_x=0.36
09:12:41 | MOVE_LEFT | nose_x=0.32
09:12:42 | MOVE_LEFT | nose_x=0.32
09:12:44 | BLINK | EAR=0.20
09:12:44 | MOVE_LEFT | nose_x=0.32
09:12:46 | MOVE_LEFT | nose_x=0.34
09:12:48 | MOVE_LEFT | nose_x=0.15
09:12:49 | MOVE_RIGHT | nose_x=0.95
09:12:50 | MOVE_RIGHT | nose_x=0.97
09:12:51 | MOVE_RIGHT | nose_x=0.95
09:12:52 | MOVE_RIGHT | nose_x=0.92
09:12:53 | MOVE_RIGHT | nose_x=0.74
09:12:54 | MOVE_RIGHT | nose_x=0.75
09:12:56 | MOVE_RIGHT | nose_x=0.73
09:12:56 | MOVE_LEFT | nose_x=0.29
09:12:58 | MOVE_LEFT | nose_x=0.18
09:12:59 | MOVE_LEFT | nose_x=0.19
09:13:00 | MOVE_LEFT | nose_x=0.20
09:13:01 | MOVE_RIGHT | nose_x=0.76
09:13:02 | MOVE_RIGHT | nose_x=0.87
09:13:04 | MOVE_RIGHT | nose_x=0.83
09:13:05 | MOVE_RIGHT | nose_x=0.83
09:13:06 | MOVE_RIGHT | nose_x=0.80
09:13:06 | MOVE_LEFT | nose_x=0.42
09:13:08 | MOVE_LEFT | nose_x=0.26
09:13:09 | MOVE_LEFT | nose_x=0.25
09:13:10 | MOVE_RIGHT | nose_x=0.70
09:13:11 | MOVE_RIGHT | nose_x=0.79
09:13:12 | BLINK | EAR=0.20
09:13:12 | MOVE_RIGHT | nose_x=0.78
09:13:13 | MOVE_RIGHT | nose_x=0.75
09:13:14 | MOVE_RIGHT | nose_x=0.72
09:13:15 | MOVE_RIGHT | nose_x=0.76
09:13:16 | MOVE_LEFT | nose_x=0.48
09:13:17 | SMILE | ratio=0.45
09:13:17 | MOVE_LEFT | nose_x=0.17
09:13:17 | SMILE | ratio=0.46
09:13:17 | MOVE_LEFT | nose_x=0.20
09:13:18 | MOVE_LEFT | nose_x=0.33
09:13:19 | MOVE_RIGHT | nose_x=0.62
09:13:20 | MOVE_RIGHT | nose_x=0.75
09:13:22 | MOVE_LEFT | nose_x=0.40
09:13:23 | MOVE_LEFT | nose_x=0.16
09:13:24 | MOVE_LEFT | nose_x=0.13
09:13:25 | MOVE_LEFT | nose_x=0.26
09:13:26 | MOVE_LEFT | nose_x=0.49
09:13:28 | MOVE_LEFT | nose_x=0.21
09:13:29 | MOVE_LEFT | nose_x=0.27
09:13:30 | MOVE_LEFT | nose_x=0.28
09:13:31 | MOVE_LEFT | nose_x=0.20
09:13:32 | BLINK | EAR=0.17
09:13:32 | MOVE_LEFT | nose_x=0.32
09:13:33 | SMILE | ratio=0.47
09:13:33 | MOVE_LEFT | nose_x=0.27
