09:25:21 | LOCK_ACQUIRED | sim=0.52
09:25:21 | MOVE_LEFT | nose_x=0.33
09:25:22 | MOVE_LEFT | nose_x=0.30
09:25:24 | MOVE_LEFT | nose_x=0.45
09:25:25 | MOVE_LEFT | nose_x=0.41
09:25:26 | MOVE_LEFT | nose_x=0.42
09:25:27 | MOVE_LEFT | nose_x=0.48
09:25:28 | MOVE_RIGHT | nose_x=0.60
09:25:30 | MOVE_RIGHT | nose_x=0.62
09:25:31 | MOVE_LEFT | nose_x=0.49
09:25:32 | MOVE_LEFT | nose_x=0.38
09:25:33 | MOVE_LEFT | nose_x=0.43
09:25:34 | MOVE_LEFT | nose_x=0.50
09:25:36 | MOVE_LEFT | nose_x=0.08
09:25:37 | MOVE_LEFT | nose_x=0.07
09:25:38 | LOCK_LOST | Target disappeared
09:25:42 | LOCK_ACQUIRED | sim=0.42
09:25:42 | MOVE_LEFT | nose_x=-0.00
09:25:44 | MOVE_LEFT | nose_x=0.14
09:25:45 | MOVE_LEFT | nose_x=0.29
09:25:47 | MOVE_LEFT | nose_x=0.05
09:25:48 | MOVE_LEFT | nose_x=0.16
09:25:49 | MOVE_RIGHT | nose_x=0.61
09:25:51 | MOVE_LEFT | nose_x=0.41
09:25:52 | MOVE_LEFT | nose_x=0.38
09:25:53 | MOVE_LEFT | nose_x=0.25
09:25:54 | MOVE_LEFT | nose_x=0.30
09:25:55 | MOVE_LEFT | nose_x=0.33
09:25:57 | MOVE_RIGHT | nose_x=0.65
09:25:57 | SMILE | ratio=0.49
09:25:57 | MOVE_RIGHT | nose_x=0.93
09:25:58 | SMILE | ratio=0.45
09:25:58 | MOVE_RIGHT | nose_x=0.77
09:26:00 | MOVE_RIGHT | nose_x=0.64
09:26:02 | MOVE_LEFT | nose_x=0.50
09:26:03 | MOVE_LEFT | nose_x=0.39
09:26:04 | MOVE_LEFT | nose_x=0.43
09:26:06 | MOVE_LEFT | nose_x=0.50
09:26:10 | MOVE_RIGHT | nose_x=0.60
09:26:11 | MOVE_RIGHT | nose_x=0.60
09:26:12 | MOVE_RIGHT | nose_x=0.61
09:26:13 | MOVE_LEFT | nose_x=0.43
09:26:14 | MOVE_LEFT | nose_x=0.31
09:26:15 | MOVE_LEFT | nose_x=0.23
09:26:17 | MOVE_LEFT | nose_x=0.33
09:26:18 | MOVE_LEFT | nose_x=0.48
