12:43:18 | LOCK_ACQUIRED | sim=0.73
12:43:18 | MOVE_LEFT | nose_x=0.44
12:43:19 | BLINK | EAR=0.12
12:43:19 | MOVE_LEFT | nose_x=0.45
12:43:20 | MOVE_LEFT | nose_x=0.32
12:43:21 | MOVE_LEFT | nose_x=0.27
12:43:22 | MOVE_LEFT | nose_x=0.27
12:43:23 | MOVE_LEFT | nose_x=0.28
12:43:24 | MOVE_RIGHT | nose_x=0.61
12:43:26 | MOVE_RIGHT | nose_x=0.60
12:43:26 | SMILE | ratio=0.47
12:43:26 | MOVE_LEFT | nose_x=0.49
12:43:27 | SMILE | ratio=0.46
12:43:27 | MOVE_LEFT | nose_x=0.49
12:43:27 | SMILE | ratio=0.46
12:43:27 | MOVE_LEFT | nose_x=0.49
12:43:28 | SMILE | ratio=0.47
12:43:28 | MOVE_LEFT | nose_x=0.49
12:43:28 | SMILE | ratio=0.47
12:43:28 | MOVE_LEFT | nose_x=0.49
12:43:28 | SMILE | ratio=0.46
12:43:28 | MOVE_LEFT | nose_x=0.49
12:43:29 | SMILE | ratio=0.46
12:43:29 | MOVE_LEFT | nose_x=0.49
12:43:29 | SMILE | ratio=0.46
12:43:29 | MOVE_LEFT | nose_x=0.49
12:43:29 | SMILE | ratio=0.46
12:43:29 | MOVE_LEFT | nose_x=0.50
12:43:30 | SMILE | ratio=0.46
12:43:30 | MOVE_LEFT | nose_x=0.50
12:43:30 | SMILE | ratio=0.46
12:43:30 | MOVE_LEFT | nose_x=0.50
12:43:30 | SMILE | ratio=0.46
12:43:30 | MOVE_LEFT | nose_x=0.50
12:43:32 | MOVE_LEFT | nose_x=0.49
12:43:33 | MOVE_LEFT | nose_x=0.37
12:43:34 | MOVE_LEFT | nose_x=0.37
12:43:35 | MOVE_LEFT | nose_x=0.39
12:43:36 | MOVE_LEFT | nose_x=0.41
12:43:40 | MOVE_LEFT | nose_x=0.50
12:43:41 | MOVE_LEFT | nose_x=0.47
12:43:42 | MOVE_LEFT | nose_x=0.43
12:43:42 | BLINK | EAR=0.17
12:43:42 | MOVE_LEFT | nose_x=0.44
12:43:44 | MOVE_LEFT | nose_x=0.44
12:43:45 | MOVE_LEFT | nose_x=0.40
12:43:46 | MOVE_LEFT | nose_x=0.15
12:43:47 | MOVE_LEFT | nose_x=0.16
12:43:48 | MOVE_LEFT | nose_x=0.34
12:43:49 | MOVE_RIGHT | nose_x=0.62
12:43:50 | MOVE_RIGHT | nose_x=0.67
12:43:50 | BLINK | EAR=0.19
12:43:50 | MOVE_RIGHT | nose_x=0.66
12:43:58 | MOVE_LEFT | nose_x=0.39
12:43:59 | MOVE_LEFT | nose_x=0.50
12:44:05 | MOVE_LEFT | nose_x=0.50
12:44:07 | MOVE_LEFT | nose_x=0.50
12:44:10 | MOVE_LEFT | nose_x=0.49
12:44:11 | MOVE_LEFT | nose_x=0.35
12:44:14 | LOCK_LOST | Target disappeared
12:44:15 | LOCK_ACQUIRED | sim=0.62
12:44:15 | MOVE_LEFT | nose_x=0.08
12:44:16 | MOVE_LEFT | nose_x=0.25
12:44:17 | MOVE_LEFT | nose_x=0.26
12:44:18 | BLINK | EAR=0.17
12:44:18 | MOVE_LEFT | nose_x=0.26
12:44:19 | MOVE_LEFT | nose_x=0.45
12:44:19 | SMILE | ratio=0.47
12:44:19 | MOVE_LEFT | nose_x=0.39
12:44:21 | MOVE_LEFT | nose_x=0.43
12:44:22 | MOVE_LEFT | nose_x=0.45
