11:37:16 | LOCK_ACQUIRED | sim=0.55
11:37:16 | MOVE_LEFT | nose_x=0.43
11:37:17 | MOVE_LEFT | nose_x=0.41
11:37:19 | MOVE_LEFT | nose_x=0.44
11:37:21 | MOVE_LEFT | nose_x=0.47
11:37:23 | MOVE_LEFT | nose_x=0.47
11:37:25 | MOVE_LEFT | nose_x=0.47
11:37:26 | MOVE_LEFT | nose_x=0.47
11:37:28 | MOVE_LEFT | nose_x=0.47
11:37:30 | MOVE_LEFT | nose_x=0.46
11:37:32 | MOVE_LEFT | nose_x=0.40
11:37:33 | MOVE_LEFT | nose_x=0.41
11:37:35 | MOVE_LEFT | nose_x=0.41
11:37:37 | MOVE_LEFT | nose_x=0.40
11:37:39 | MOVE_LEFT | nose_x=0.41
11:37:40 | MOVE_LEFT | nose_x=0.41
11:37:42 | MOVE_LEFT | nose_x=0.41
11:37:43 | BLINK | EAR=0.15
11:37:43 | MOVE_LEFT | nose_x=0.41
11:37:45 | MOVE_LEFT | nose_x=0.42
11:37:47 | MOVE_LEFT | nose_x=0.40
11:37:48 | BLINK | EAR=0.12
11:37:48 | MOVE_LEFT | nose_x=0.41
11:37:50 | MOVE_LEFT | nose_x=0.43
11:37:52 | MOVE_LEFT | nose_x=0.32
11:37:53 | MOVE_LEFT | nose_x=0.34
11:37:54 | SMILE | ratio=0.46
11:37:54 | MOVE_LEFT | nose_x=0.41
11:37:56 | MOVE_LEFT | nose_x=0.43
11:37:57 | MOVE_LEFT | nose_x=0.41
11:37:59 | MOVE_LEFT | nose_x=0.18
11:38:01 | MOVE_LEFT | nose_x=0.21
11:38:03 | MOVE_LEFT | nose_x=0.22
11:38:05 | MOVE_RIGHT | nose_x=0.68
11:38:06 | SMILE | ratio=0.45
11:38:06 | MOVE_RIGHT | nose_x=0.70
11:38:08 | SMILE | ratio=0.46
11:38:08 | MOVE_RIGHT | nose_x=0.72
11:38:15 | MOVE_LEFT | nose_x=0.49
11:38:23 | MOVE_LEFT | nose_x=0.50
11:38:24 | MOVE_LEFT | nose_x=0.49
11:38:25 | SMILE | ratio=0.45
11:38:25 | MOVE_LEFT | nose_x=0.49
11:38:27 | SMILE | ratio=0.46
11:38:32 | MOVE_LEFT | nose_x=0.49
11:38:33 | MOVE_LEFT | nose_x=0.38
11:38:34 | MOVE_LEFT | nose_x=0.39
11:38:35 | MOVE_LEFT | nose_x=0.44
11:38:37 | MOVE_LEFT | nose_x=0.44
11:38:38 | MOVE_LEFT | nose_x=0.49
11:38:39 | MOVE_LEFT | nose_x=0.49
11:38:40 | BLINK | EAR=0.19
11:38:40 | MOVE_LEFT | nose_x=0.45
